EntityId,EntityName,WugType,WugRegion,WugCounty,EntityIsSplit,N2020,N2030,N2040,N2050,N2060,N2070
271,BOLIVAR WSC,MUNICIPAL,C,DENTON,Y,0,112,267,460,700,981
271,BOLIVAR WSC,MUNICIPAL,C,WISE,Y,0,14,30,51,72,96
272,BONHAM,MUNICIPAL,C,FANNIN,N,0,14,757,1933,2916,4070
273,BOOKER,MUNICIPAL,A,LIPSCOMB,Y,0,0,77,257,348,434
273,BOOKER,MUNICIPAL,A,OCHILTREE,Y,0,0,2,7,11,17
274,BOVINA,MUNICIPAL,O,PARMER,N,0,2,29,58,96,131
275,BOWIE,MUNICIPAL,B,MONTAGUE,N,0,0,0,0,0,0
276,BOYD,MUNICIPAL,C,WISE,N,0,14,48,92,207,296
277,BRACKETTVILLE,MUNICIPAL,J,KINNEY,N,0,0,0,0,0,0
278,BRADY,MUNICIPAL,F,MCCULLOCH,N,1389,1418,1399,1408,1410,1412
279,BRANDON-IRENE WSC,MUNICIPAL,C,ELLIS,Y,0,0,0,0,0,0
279,BRANDON-IRENE WSC,MUNICIPAL,C,NAVARRO,Y,0,0,0,0,0,0
279,BRANDON-IRENE WSC,MUNICIPAL,G,HILL,Y,0,0,0,0,0,0
280,BRAZORIA,MUNICIPAL,H,BRAZORIA,N,0,0,0,0,0,0
282,BRAZORIA COUNTY MUD #2,MUNICIPAL,H,BRAZORIA,N,0,0,0,0,0,0
283,BRAZORIA COUNTY MUD #3,MUNICIPAL,H,BRAZORIA,N,0,0,0,0,0,0
286,BRECKENRIDGE,MUNICIPAL,G,STEPHENS,N,0,0,0,0,0,0
287,BREMOND,MUNICIPAL,G,ROBERTSON,N,0,0,0,0,0,0
288,BRENHAM,MUNICIPAL,G,WASHINGTON,N,0,216,399,604,779,927
290,BRIDGE CITY,MUNICIPAL,I,ORANGE,N,0,0,0,0,0,0
291,BRIDGEPORT,MUNICIPAL,C,WISE,N,0,139,356,792,1618,2445
295,BROOKESMITH SUD,MUNICIPAL,F,BROWN,Y,0,0,0,0,0,0
295,BROOKESMITH SUD,MUNICIPAL,F,COLEMAN,Y,0,0,0,0,0,0
295,BROOKESMITH SUD,MUNICIPAL,K,MILLS,Y,0,0,0,0,0,0
296,BROOKSHIRE,MUNICIPAL,H,WALLER,N,0,0,0,0,0,0
297,BROOKSIDE VILLAGE,MUNICIPAL,H,BRAZORIA,N,0,0,0,0,0,0
298,BROWNFIELD,MUNICIPAL,O,TERRY,N,0,739,863,991,1149,1304
299,BROWNSBORO,MUNICIPAL,I,HENDERSON,N,0,0,0,0,0,0
300,BROWNSVILLE,MUNICIPAL,M,CAMERON,N,0,0,4385,11196,18439,25919
301,BROWNWOOD,MUNICIPAL,F,BROWN,N,0,0,0,0,0,0
302,BRUCEVILLE-EDDY,MUNICIPAL,G,FALLS,Y,0,0,0,0,0,0
302,BRUCEVILLE-EDDY,MUNICIPAL,G,MCLENNAN,Y,0,0,0,0,0,0
303,BRUSHY CREEK MUD,MUNICIPAL,G,WILLIAMSON,N,58,98,920,1428,1764,1848
304,BRUSHY CREEK WSC,MUNICIPAL,I,ANDERSON,Y,0,0,0,0,0,0
304,BRUSHY CREEK WSC,MUNICIPAL,I,HENDERSON,Y,0,0,0,0,0,0
305,BRYAN,MUNICIPAL,G,BRAZOS,N,3335,1269,5533,11875,18790,26578
306,BRYSON,MUNICIPAL,C,JACK,N,0,0,0,0,0,0
307,BUDA,MUNICIPAL,K,HAYS,Y,0,667,1690,2974,4429,6088
307,BUDA,MUNICIPAL,L,HAYS,Y,0,0,0,0,0,0
308,BUENA VISTA - BETHEL SUD,MUNICIPAL,C,ELLIS,N,0,0,39,64,425,1143
309,BUFFALO,MUNICIPAL,H,LEON,N,0,0,0,0,0,0
310,BULLARD,MUNICIPAL,I,CHEROKEE,Y,0,0,0,0,0,0
310,BULLARD,MUNICIPAL,I,SMITH,Y,51,223,397,587,783,985
312,BUNKER HILL VILLAGE,MUNICIPAL,H,HARRIS,N,130,118,35,53,71,92
313,BURKBURNETT,MUNICIPAL,B,WICHITA,N,0,0,0,0,0,0
314,BURLESON,MUNICIPAL,C,TARRANT,Y,354,493,655,1046,1404,1696
314,BURLESON,MUNICIPAL,G,JOHNSON,Y,1442,2347,3278,4080,5013,6082
315,BURNET,MUNICIPAL,K,BURNET,N,0,0,0,0,0,0
317,CADDO BASIN SUD,MUNICIPAL,C,COLLIN,Y,23,72,123,172,230,304
317,CADDO BASIN SUD,MUNICIPAL,D,HUNT,Y,54,213,343,520,799,1242
318,CADDO MILLS,MUNICIPAL,D,HUNT,N,0,1,36,68,108,255
319,CALDWELL,MUNICIPAL,G,BURLESON,N,0,0,0,0,0,0
320,CALHOUN COUNTY WS,MUNICIPAL,L,CALHOUN,N,0,0,0,0,0,0
321,CALVERT,MUNICIPAL,G,ROBERTSON,N,0,0,0,0,0,0
322,CAMERON,MUNICIPAL,G,MILAM,N,0,0,0,0,0,0
323,CAMP WOOD,MUNICIPAL,J,REAL,N,134,131,128,127,126,126
324,CAMPBELL,MUNICIPAL,D,HUNT,N,0,0,0,0,0,0
326,CANADIAN,MUNICIPAL,A,HEMPHILL,N,0,0,0,0,0,0
328,CANTON,MUNICIPAL,D,VAN ZANDT,N,0,0,0,0,0,0
329,CANYON,MUNICIPAL,A,RANDALL,N,1009,1589,2176,2770,3779,4313
331,CARRIZO SPRINGS,MUNICIPAL,L,DIMMIT,N,267,399,476,578,0,0
332,CARROLLTON,MUNICIPAL,C,COLLIN,Y,1,1,1,2,2,2
332,CARROLLTON,MUNICIPAL,C,DALLAS,Y,415,1189,1997,2512,2914,3193
332,CARROLLTON,MUNICIPAL,C,DENTON,Y,642,1895,3180,4000,4640,5086
334,CASTLE HILLS,MUNICIPAL,L,BEXAR,N,0,0,0,0,0,0
335,CASTROVILLE,MUNICIPAL,L,MEDINA,N,224,217,210,208,211,214
337,CELESTE,MUNICIPAL,D,HUNT,N,0,0,0,28,100,204
